City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Yerbogachen,61.2767,108.0108,-40.45,97,59,3.91,RU,2021-12-19 04:22:53
68,Busselton,-33.65,115.3333,79.05,48,0,10.96,AU,2021-12-19 04:22:53
69,Kailua,21.4022,-157.7394,78.78,76,75,16.11,US,2021-12-19 04:22:53
70,Lira,2.235,32.9097,69.3,76,97,3.02,UG,2021-12-19 04:22:53
71,Makakilo City,21.3469,-158.0858,77.32,70,1,9.22,US,2021-12-19 04:22:54
72,Shingu,33.7333,135.9833,49.19,57,46,14.45,JP,2021-12-19 04:22:54
73,New Norfolk,-42.7826,147.0587,62.92,54,100,4.0,AU,2021-12-19 04:22:54
74,San Quintin,30.4833,-115.95,56.64,62,0,4.43,MX,2021-12-19 04:22:55
75,Jamestown,42.097,-79.2353,34.09,95,90,5.99,US,2021-12-19 04:20:36
76,Bernalda,40.4128,16.692,43.75,70,15,11.14,IT,2021-12-19 04:22:55
77,Hovd,48.0056,91.6419,20.28,48,23,6.78,MN,2021-12-19 04:22:56
78,Cabo San Lucas,22.8909,-109.9124,69.15,76,5,2.8,MX,2021-12-19 04:22:22
79,Taonan,45.3333,122.7833,17.91,74,3,11.23,CN,2021-12-19 04:22:56
80,Birao,10.2849,22.7882,66.51,28,3,9.4,CF,2021-12-19 04:22:56
81,Alofi,-19.0595,-169.9187,84.09,70,24,17.27,NU,2021-12-19 04:22:57
82,Port Alfred,-33.5906,26.891,65.05,77,77,19.77,ZA,2021-12-19 04:22:57
83,Kirovskiy,45.0917,133.5136,12.0,73,11,5.37,RU,2021-12-19 04:21:08
84,Iranshahr,27.2025,60.6848,57.54,51,0,4.61,IR,2021-12-19 04:22:57
85,Albany,42.6001,-73.9662,38.68,93,100,0.76,US,2021-12-19 04:20:38
86,Cascais,38.6979,-9.4215,52.5,65,96,1.01,PT,2021-12-19 04:22:58
87,Lloydminster,53.2835,-110.0016,-4.32,84,75,6.91,CA,2021-12-19 04:22:58
88,Vanimo,-2.6741,141.3028,87.04,67,29,9.66,PG,2021-12-19 04:22:59
89,Ancud,-41.8697,-73.8203,53.42,95,3,3.0,CL,2021-12-19 04:22:59
90,Bilibino,68.0546,166.4372,-10.14,89,100,4.07,RU,2021-12-19 04:22:59
91,Puerto Ayora,-0.7393,-90.3518,69.55,96,84,6.31,EC,2021-12-19 04:23:00
92,Hobyo,5.3505,48.5268,78.89,81,61,19.19,SO,2021-12-19 04:23:00
93,Lorengau,-2.0226,147.2712,83.44,77,100,10.74,PG,2021-12-19 04:23:00
94,Opuwo,-18.0607,13.84,65.93,37,100,3.13,NA,2021-12-19 04:23:01
95,Abalak,58.1286,68.5944,11.68,94,100,10.38,RU,2021-12-19 04:23:01
96,Vila Velha,-20.3297,-40.2925,73.35,92,90,3.0,BR,2021-12-19 04:23:01
97,Maldonado,-34.6667,-54.9167,63.79,92,0,8.68,UY,2021-12-19 04:23:02
98,Butaritari,3.0707,172.7902,82.31,80,62,16.13,KI,2021-12-19 04:23:02
99,Port Blair,11.6667,92.75,83.23,68,86,13.2,IN,2021-12-19 04:23:03
100,Kruisfontein,-34.0033,24.7314,59.52,85,94,4.76,ZA,2021-12-19 04:23:03
101,Carnarvon,-24.8667,113.6333,78.87,61,0,21.85,AU,2021-12-19 04:23:03
102,Chuy,-33.6971,-53.4616,62.65,83,0,8.63,UY,2021-12-19 04:23:03
103,Mizdah,31.4451,12.9801,46.2,87,58,9.48,LY,2021-12-19 04:23:04
104,Cherskiy,68.75,161.3,-22.25,96,100,0.67,RU,2021-12-19 04:23:04
105,Praia Da Vitoria,38.7333,-27.0667,59.25,94,40,15.3,PT,2021-12-19 04:23:04
106,Constitucion,-35.3333,-72.4167,57.96,73,0,8.99,CL,2021-12-19 04:23:05
107,Deputatskiy,69.3,139.9,-26.66,99,100,2.08,RU,2021-12-19 04:23:05
108,San Andres,12.5847,-81.7006,82.42,78,40,13.8,CO,2021-12-19 04:23:06
109,Saldanha,-33.0117,17.9442,59.05,95,33,7.23,ZA,2021-12-19 04:23:06
